dataset,task,variant,seed,source_kind,source_priority,source_path,accuracy,micro_f1,macro_f1,weighted_f1,roc_auc,average_precision,log_loss,mrr,rmse,mae,r2
rel-salt,sales-payterms,dfs,44,task_root,0,results/rel-salt_sales-payterms_tabpfn/dfs/seed44/metrics.csv,0.2831415707853927,0.2831415707853927,0.007148369036781,0.1255664712500426,,,2.721078697629821,0.4639628944313878,,,
rel-salt,sales-payterms,fdhg,41,task_root,0,results/rel-salt_sales-payterms_tabpfn/fdhg_dmax1/seed41/metrics.csv,0.2831415707853927,0.2831415707853927,0.007148369036781,0.1255664712500426,,,2.703515551864388,0.4652219985228758,,,
rel-salt,sales-payterms,fdhg,42,task_root,0,results/rel-salt_sales-payterms_tabpfn/fdhg_dmax1/seed42/metrics.csv,0.2831415707853927,0.2831415707853927,0.007148369036781,0.1255664712500426,,,2.703740848335908,0.4651497470809438,,,
rel-salt,sales-payterms,fdhg,43,task_root,0,results/rel-salt_sales-payterms_tabpfn/fdhg_dmax1/seed43/metrics.csv,0.2831415707853927,0.2831415707853927,0.007148369036781,0.1255664712500426,,,2.703450165919708,0.465197249925494,,,
rel-salt,sales-payterms,fdhg,44,task_root,0,results/rel-salt_sales-payterms_tabpfn/fdhg_dmax1/seed44/metrics.csv,0.2831415707853927,0.2831415707853927,0.007148369036781,0.1255664712500426,,,2.7040824892677406,0.4651981125018207,,,
rel-salt,sales-shipcond,dfs,41,task_root,0,results/rel-salt_sales-shipcond_tabpfn/dfs/seed41/metrics.csv,0.2722722722722723,0.2722722722722723,0.01624978629559,0.1179328734355557,,,2.2806330058233475,0.4741652314004844,,,
rel-salt,sales-shipcond,dfs,42,task_root,0,results/rel-salt_sales-shipcond_tabpfn/dfs/seed42/metrics.csv,0.2722722722722723,0.2722722722722723,0.01624978629559,0.1179328734355557,,,2.280862974968636,0.474164039732626,,,
rel-salt,sales-shipcond,dfs,43,task_root,0,results/rel-salt_sales-shipcond_tabpfn/dfs/seed43/metrics.csv,0.2722722722722723,0.2722722722722723,0.01624978629559,0.1179328734355557,,,2.2807885654790963,0.4741635015600449,,,
rel-salt,sales-shipcond,dfs,44,task_root,0,results/rel-salt_sales-shipcond_tabpfn/dfs/seed44/metrics.csv,0.2722722722722723,0.2722722722722723,0.01624978629559,0.1179328734355557,,,2.280811502459217,0.4741646150205576,,,
rel-salt,sales-shipcond,fdhg,41,task_root,0,results/rel-salt_sales-shipcond_tabpfn/fdhg_dmax1/seed41/metrics.csv,0.2737737737737737,0.2737737737737737,0.0176180248143324,0.1232112293446253,,,2.2509191478844737,0.4773172668735603,,,
rel-salt,sales-shipcond,fdhg,42,task_root,0,results/rel-salt_sales-shipcond_tabpfn/fdhg_dmax1/seed42/metrics.csv,0.2712712712712712,0.2712712712712712,0.0312576110451372,0.1208942893270411,,,2.2525771555384675,0.4754800942030542,,,
rel-salt,sales-shipcond,fdhg,43,task_root,0,results/rel-salt_sales-shipcond_tabpfn/fdhg_dmax1/seed43/metrics.csv,0.2737737737737737,0.2737737737737737,0.0176180248143324,0.1232112293446253,,,2.250557443075129,0.4775620424168251,,,
rel-salt,sales-shipcond,fdhg,44,task_root,0,results/rel-salt_sales-shipcond_tabpfn/fdhg_dmax1/seed44/metrics.csv,0.2737737737737737,0.2737737737737737,0.0176180248143324,0.1232112293446253,,,2.2495354145951927,0.4775512144454708,,,
rel-stack,user-badge,dfs,41,paper_main,3,results/final_tables/paper_main_runs.csv,0.9709698542429608,,,,0.8680709804227033,0.2923983393001161,0.0986698262592651,,,,
rel-stack,user-badge,dfs,42,paper_main,3,results/final_tables/paper_main_runs.csv,0.9715357440237996,,,,0.8649947394880146,0.2918230392726402,0.0985595765563041,,,,
rel-stack,user-badge,dfs,43,paper_main,3,results/final_tables/paper_main_runs.csv,0.9715397860936628,,,,0.8673571361675554,0.2893683263536507,0.0988169014792259,,,,
rel-stack,user-badge,dfs,44,paper_main,3,results/final_tables/paper_main_runs.csv,0.9716974268183252,,,,0.864939314860997,0.2998623169268062,0.0985281164979778,,,,
rel-stack,user-badge,fdhg,41,paper_main,3,results/final_tables/paper_main_runs.csv,0.971422566067632,,,,0.8824660156229364,0.3096025347174123,0.09623096430824,,,,
rel-stack,user-badge,fdhg,42,paper_main,3,results/final_tables/paper_main_runs.csv,0.9719439930799764,,,,0.879981368896094,0.309430241081467,0.0961915484655507,,,,
rel-stack,user-badge,fdhg,43,paper_main,3,results/final_tables/paper_main_runs.csv,0.9719076144512082,,,,0.8818893365734755,0.3087377240027082,0.0962808524840338,,,,
rel-stack,user-badge,fdhg,44,paper_main,3,results/final_tables/paper_main_runs.csv,0.9719439930799764,,,,0.8808392484971991,0.3124692941159737,0.0959857283464114,,,,
