dataset,task,variant,seed,source_kind,source_priority,source_path,accuracy,micro_f1,macro_f1,weighted_f1,roc_auc,average_precision,log_loss,mrr,rmse,mae,r2
rel-ratebeer,beer-churn,dfs,43,task_root,0,results/rel-ratebeer_beer-churn_tabpfn/dfs/seed43/metrics.csv,0.6385,,,,0.7183418805496145,0.7053551214989815,0.6608144747433453,,,,
rel-ratebeer,beer-churn,dfs,44,task_root,0,results/rel-ratebeer_beer-churn_tabpfn/dfs/seed44/metrics.csv,0.6385,,,,0.7181028825588178,0.7051580215544044,0.6608590105360722,,,,
rel-ratebeer,beer-churn,fdhg,41,task_root,0,results/rel-ratebeer_beer-churn_tabpfn/fdhg_dmax1/seed41/metrics.csv,0.625,,,,0.7205551437228594,0.7079887481425033,0.6586797662449132,,,,
rel-ratebeer,beer-churn,fdhg,42,task_root,0,results/rel-ratebeer_beer-churn_tabpfn/fdhg_dmax1/seed42/metrics.csv,0.638,,,,0.7199799282195865,0.7079232256164241,0.6574203542194856,,,,
rel-ratebeer,beer-churn,fdhg,43,task_root,0,results/rel-ratebeer_beer-churn_tabpfn/fdhg_dmax1/seed43/metrics.csv,0.637,,,,0.7213015060924234,0.7083102062845498,0.6581108581266183,,,,
rel-ratebeer,beer-churn,fdhg,44,task_root,0,results/rel-ratebeer_beer-churn_tabpfn/fdhg_dmax1/seed44/metrics.csv,0.6325,,,,0.7210949146088534,0.7082292076634066,0.6582044829436138,,,,
rel-ratebeer,beer_ratings-total_score,dfs,41,reproduced,1,results/final_tables/reproduced_validation_gate_seed_metrics.csv,,,,,,,,,0.5655417167846749,0.3858379972457885,0.3317703434696292
rel-ratebeer,beer_ratings-total_score,dfs,42,reproduced,1,results/final_tables/reproduced_validation_gate_seed_metrics.csv,,,,,,,,,0.5656255519579397,0.3859916035532951,0.3315722137839685
rel-ratebeer,beer_ratings-total_score,dfs,43,reproduced,1,results/final_tables/reproduced_validation_gate_seed_metrics.csv,,,,,,,,,0.565880065092168,0.3861655377984047,0.3309705368429398
rel-ratebeer,beer_ratings-total_score,dfs,44,reproduced,1,results/final_tables/reproduced_validation_gate_seed_metrics.csv,,,,,,,,,0.5661414163953918,0.3862676177382469,0.3303524125779187
rel-ratebeer,beer_ratings-total_score,fdhg,41,reproduced,1,results/final_tables/reproduced_validation_gate_seed_metrics.csv,,,,,,,,,0.5655417167846749,0.3858379972457885,0.3317703434696292
rel-ratebeer,beer_ratings-total_score,fdhg,42,reproduced,1,results/final_tables/reproduced_validation_gate_seed_metrics.csv,,,,,,,,,0.5656255519579397,0.3859916035532951,0.3315722137839685
rel-ratebeer,beer_ratings-total_score,fdhg,43,reproduced,1,results/final_tables/reproduced_validation_gate_seed_metrics.csv,,,,,,,,,0.565880065092168,0.3861655377984047,0.3309705368429398
rel-ratebeer,beer_ratings-total_score,fdhg,44,reproduced,1,results/final_tables/reproduced_validation_gate_seed_metrics.csv,,,,,,,,,0.5661414163953918,0.3862676177382469,0.3303524125779187
rel-ratebeer,brewer-dormant,dfs,41,task_root,0,results/rel-ratebeer_brewer-dormant_tabpfn/dfs/seed41/metrics.csv,0.7185,,,,0.7748865570051049,0.6075617374703607,0.5510913515875054,,,,
rel-ratebeer,brewer-dormant,dfs,42,task_root,0,results/rel-ratebeer_brewer-dormant_tabpfn/dfs/seed42/metrics.csv,0.7205,,,,0.7749297628332389,0.6084557303248064,0.551018105850756,,,,
rel-ratebeer,brewer-dormant,dfs,43,task_root,0,results/rel-ratebeer_brewer-dormant_tabpfn/dfs/seed43/metrics.csv,0.7195,,,,0.7752067232699943,0.607982353262735,0.5509360437789419,,,,
rel-ratebeer,brewer-dormant,dfs,44,task_root,0,results/rel-ratebeer_brewer-dormant_tabpfn/dfs/seed44/metrics.csv,0.72,,,,0.7747536159954622,0.6080573404986467,0.5511065371386197,,,,
rel-ratebeer,brewer-dormant,fdhg,41,task_root,0,results/rel-ratebeer_brewer-dormant_tabpfn/fdhg_dmax1/seed41/metrics.csv,0.719,,,,0.7742805675694838,0.609988439091286,0.55131749346015,,,,
rel-ratebeer,brewer-dormant,fdhg,42,task_root,0,results/rel-ratebeer_brewer-dormant_tabpfn/fdhg_dmax1/seed42/metrics.csv,0.7175,,,,0.7744328958096994,0.6094813317785738,0.5509661019611747,,,,
rel-ratebeer,brewer-dormant,fdhg,43,task_root,0,results/rel-ratebeer_brewer-dormant_tabpfn/fdhg_dmax1/seed43/metrics.csv,0.719,,,,0.7745530966392513,0.610185917111614,0.5512199604452395,,,,
rel-ratebeer,brewer-dormant,fdhg,44,task_root,0,results/rel-ratebeer_brewer-dormant_tabpfn/fdhg_dmax1/seed44/metrics.csv,0.7175,,,,0.7743758419597276,0.6102632593243495,0.5514779123312182,,,,
rel-ratebeer,user-churn,dfs,41,task_root,0,results/rel-ratebeer_user-churn_tabpfn/dfs/seed41/metrics.csv,0.7065,,,,0.7804779642682671,0.8467910075051694,0.5760493110598202,,,,
rel-ratebeer,user-churn,dfs,42,task_root,0,results/rel-ratebeer_user-churn_tabpfn/dfs/seed42/metrics.csv,0.7055,,,,0.7809806598506525,0.8470182112207068,0.5769558539901023,,,,
rel-ratebeer,user-churn,dfs,43,task_root,0,results/rel-ratebeer_user-churn_tabpfn/dfs/seed43/metrics.csv,0.7085,,,,0.7803852763626213,0.8444400861778715,0.5769282320047829,,,,
