dataset,task,task_type,comparison_scope,gate_mode,primary_metric,secondary_metric,seed,base_primary_score,candidate_primary_score,primary_improvement,secondary_improvement,seed_pass,base_source,candidate_source
rel-ratebeer,brewer-dormant,binary_classification,dfs_vs_fdhg,single_metric,log_loss,,41,0.5510913515875054,0.55131749346015,-0.00022614187264458074,,False,results/rel-ratebeer_brewer-dormant_tabpfn/dfs/seed41/metrics.csv,results/rel-ratebeer_brewer-dormant_tabpfn/fdhg_dmax1/seed41/metrics.csv
rel-ratebeer,brewer-dormant,binary_classification,dfs_vs_fdhg,single_metric,log_loss,,42,0.551018105850756,0.5509661019611747,5.200388958126467e-05,,True,results/rel-ratebeer_brewer-dormant_tabpfn/dfs/seed42/metrics.csv,results/rel-ratebeer_brewer-dormant_tabpfn/fdhg_dmax1/seed42/metrics.csv
rel-ratebeer,brewer-dormant,binary_classification,dfs_vs_fdhg,single_metric,log_loss,,43,0.5509360437789419,0.5512199604452395,-0.00028391666629756784,,False,results/rel-ratebeer_brewer-dormant_tabpfn/dfs/seed43/metrics.csv,results/rel-ratebeer_brewer-dormant_tabpfn/fdhg_dmax1/seed43/metrics.csv
rel-ratebeer,brewer-dormant,binary_classification,dfs_vs_fdhg,single_metric,log_loss,,44,0.5511065371386197,0.5514779123312182,-0.00037137519259855534,,False,results/rel-ratebeer_brewer-dormant_tabpfn/dfs/seed44/metrics.csv,results/rel-ratebeer_brewer-dormant_tabpfn/fdhg_dmax1/seed44/metrics.csv
rel-ratebeer,user-churn,binary_classification,dfs_vs_fdhg,single_metric,log_loss,,41,0.5760493110598202,0.5753258565903474,0.0007234544694727507,,True,results/rel-ratebeer_user-churn_tabpfn/dfs/seed41/metrics.csv,results/rel-ratebeer_user-churn_tabpfn/fdhg_dmax1/seed41/metrics.csv
rel-ratebeer,user-churn,binary_classification,dfs_vs_fdhg,single_metric,log_loss,,42,0.5769558539901023,0.5758927314816676,0.0010631225084346552,,True,results/rel-ratebeer_user-churn_tabpfn/dfs/seed42/metrics.csv,results/rel-ratebeer_user-churn_tabpfn/fdhg_dmax1/seed42/metrics.csv
rel-ratebeer,user-churn,binary_classification,dfs_vs_fdhg,single_metric,log_loss,,43,0.5769282320047829,0.5761740737909801,0.0007541582138028691,,True,results/rel-ratebeer_user-churn_tabpfn/dfs/seed43/metrics.csv,results/rel-ratebeer_user-churn_tabpfn/fdhg_dmax1/seed43/metrics.csv
rel-ratebeer,user-churn,binary_classification,dfs_vs_fdhg,single_metric,log_loss,,44,0.5768473743502832,0.5777056518290183,-0.0008582774787351255,,False,results/rel-ratebeer_user-churn_tabpfn/dfs/seed44/metrics.csv,results/rel-ratebeer_user-churn_tabpfn/fdhg_dmax1/seed44/metrics.csv
rel-ratebeer,user-count,regression,dfs_vs_fdhg,single_metric,rmse,,41,43.2568739968288,41.639127351248185,1.6177466455806169,,True,results/rel-ratebeer_user-count_tabpfn/dfs/seed41/metrics.csv,results/rel-ratebeer_user-count_tabpfn/fdhg_dmax1/seed41/metrics.csv
rel-ratebeer,user-count,regression,dfs_vs_fdhg,single_metric,rmse,,42,43.25683396695997,41.49370293140522,1.7631310355547498,,True,results/rel-ratebeer_user-count_tabpfn/dfs/seed42/metrics.csv,results/rel-ratebeer_user-count_tabpfn/fdhg_dmax1/seed42/metrics.csv
rel-ratebeer,user-count,regression,dfs_vs_fdhg,single_metric,rmse,,43,43.2711234785932,41.77317949772564,1.4979439808675608,,True,results/rel-ratebeer_user-count_tabpfn/dfs/seed43/metrics.csv,results/rel-ratebeer_user-count_tabpfn/fdhg_dmax1/seed43/metrics.csv
rel-ratebeer,user-count,regression,dfs_vs_fdhg,single_metric,rmse,,44,43.268118777388864,41.67109869177757,1.597020085611291,,True,results/rel-ratebeer_user-count_tabpfn/dfs/seed44/metrics.csv,results/rel-ratebeer_user-count_tabpfn/fdhg_dmax1/seed44/metrics.csv
rel-salt,item-incoterms,multiclass_classification,dfs_vs_fdhg,single_metric,accuracy,,41,0.689,0.6995,0.010500000000000065,,True,results/rel-salt_item-incoterms_tabpfn/dfs/seed41/metrics.csv,results/rel-salt_item-incoterms_tabpfn/fdhg_dmax1/seed41/metrics.csv
rel-salt,item-incoterms,multiclass_classification,dfs_vs_fdhg,single_metric,accuracy,,42,0.689,0.699,0.010000000000000009,,True,results/rel-salt_item-incoterms_tabpfn/dfs/seed42/metrics.csv,results/rel-salt_item-incoterms_tabpfn/fdhg_dmax1/seed42/metrics.csv
rel-salt,item-incoterms,multiclass_classification,dfs_vs_fdhg,single_metric,accuracy,,43,0.6935,0.6905,-0.0030000000000000027,,False,results/rel-salt_item-incoterms_tabpfn/dfs/seed43/metrics.csv,results/rel-salt_item-incoterms_tabpfn/fdhg_dmax1/seed43/metrics.csv
rel-salt,item-incoterms,multiclass_classification,dfs_vs_fdhg,single_metric,accuracy,,44,0.6935,0.6865,-0.007000000000000006,,False,results/rel-salt_item-incoterms_tabpfn/dfs/seed44/metrics.csv,results/rel-salt_item-incoterms_tabpfn/fdhg_dmax1/seed44/metrics.csv
rel-salt,item-plant,multiclass_classification,dfs_vs_fdhg,single_metric,accuracy,,41,0.9639097744360904,0.9659147869674184,0.00200501253132801,,True,results/rel-salt_item-plant_tabpfn/dfs/seed41/metrics.csv,results/rel-salt_item-plant_tabpfn/fdhg_dmax1/seed41/metrics.csv
rel-salt,item-plant,multiclass_classification,dfs_vs_fdhg,single_metric,accuracy,,42,0.9689223057644112,0.9654135338345864,-0.0035087719298247944,,False,results/rel-salt_item-plant_tabpfn/dfs/seed42/metrics.csv,results/rel-salt_item-plant_tabpfn/fdhg_dmax1/seed42/metrics.csv
rel-salt,item-plant,multiclass_classification,dfs_vs_fdhg,single_metric,accuracy,,43,0.9674185463659148,0.9644110275689224,-0.003007518796992459,,False,results/rel-salt_item-plant_tabpfn/dfs/seed43/metrics.csv,results/rel-salt_item-plant_tabpfn/fdhg_dmax1/seed43/metrics.csv
rel-salt,item-plant,multiclass_classification,dfs_vs_fdhg,single_metric,accuracy,,44,0.9689223057644112,0.9704260651629072,0.0015037593984960074,,True,results/rel-salt_item-plant_tabpfn/dfs/seed44/metrics.csv,results/rel-salt_item-plant_tabpfn/fdhg_dmax1/seed44/metrics.csv
