dataset,task,task_type,role_in_paper,base_variant,selected_variant,gate_outcome,selected_residual_count,seeds,base_n_features,selected_n_features,accuracy_base,accuracy_selected,accuracy_gain,roc_auc_base,roc_auc_selected,roc_auc_gain,average_precision_base,average_precision_selected,average_precision_gain,log_loss_base,log_loss_selected,log_loss_reduction,macro_f1_base,macro_f1_selected,macro_f1_gain,mrr_base,mrr_selected,mrr_gain,fallback_exact_match,mechanism_summary
rel-arxiv,paper-citation,binary_classification,real_world_negative_control,temporal_dfs_clean,fdhg_v2_fallback,FALLBACK,0,4,14,14,0.724625,0.724625,0.0,0.8116088701730677,0.8116088701730677,0.0,0.8066202778015753,0.8066202778015753,0.0,0.530782567185184,0.530782567185184,0.0,,,,,,,True,No applicable residual was selected; FDHG exactly preserved the temporal DFS representation.
rel-arxiv,author-category,multiclass_classification,strong_positive_mechanism_case,dfs_without_category_residual,dfs_plus_category_residual,SELECT,3,4,12,15,0.22225,0.4882499999999999,0.2659999999999999,,,,,,,2.866434413535613,2.0004706300508177,0.8659637834847951,0.0518840546527085,0.3079648054944476,0.2560807508417391,0.3658582365868764,0.5940229553710696,0.22816471878419325,False,Historical category state and ambiguity residuals produce gains only when publication history exists.
