dataset,task,variant,seed,model,split,n_train,n_val,n_features,feature_budget,dmax,uses_afd,uses_ambiguity,uses_dmax2,uses_supervised_ranker,is_fdhg_fallback,accuracy,roc_auc,average_precision,log_loss,runtime_sec,feature_path,result_path,status,failure_reason
rel-amazon,item-churn,fdhg_dmax1,44,tabpfn,val,,,19,,1,False,True,False,False,False,0.627,0.6818104330037505,0.5542302092851948,0.6334149361514593,,,results/phase2_relbench/rel-amazon_item-churn_fdhg_full_seed44_naive/dfs_agg_rel-amazon_item-churn_tabpfn_seed44.json,ok,
rel-amazon,item-churn,fdhg_dmax1_no_ambiguity,41,tabpfn,val,,,24,,1,True,False,False,False,False,0.6785,0.7580196267448532,0.6366809150046987,0.5997747833017442,,,results/phase2_relbench/rel-amazon_item-churn_fdhg_wo_ambiguity_seed41_dfs/dfs_agg_rel-amazon_item-churn_tabpfn_seed41.json,ok,
rel-amazon,item-churn,fdhg_dmax1_no_ambiguity,41,tabpfn,val,,,24,,1,True,False,False,False,False,0.6785,0.7580196267448532,0.6366809150046987,0.5997747833017442,,,results/phase2_relbench/rel-amazon_item-churn_fdhg_wo_ambiguity_seed41_fdhg/dfs_agg_rel-amazon_item-churn_tabpfn_seed41.json,ok,
rel-amazon,item-churn,fdhg_dmax1_no_ambiguity,41,tabpfn,val,,,19,,1,False,False,False,False,False,0.6255,0.6852457552210858,0.5700563818007865,0.6431594454839928,,,results/phase2_relbench/rel-amazon_item-churn_fdhg_wo_ambiguity_seed41_naive/dfs_agg_rel-amazon_item-churn_tabpfn_seed41.json,ok,
rel-amazon,item-churn,fdhg_dmax1_no_ambiguity,42,tabpfn,val,,,24,,1,True,False,False,False,False,0.679,0.7692990443172705,0.6290269424156062,0.5776361538959173,,,results/phase2_relbench/rel-amazon_item-churn_fdhg_wo_ambiguity_seed42_dfs/dfs_agg_rel-amazon_item-churn_tabpfn_seed42.json,ok,
rel-amazon,item-churn,fdhg_dmax1_no_ambiguity,42,tabpfn,val,,,24,,1,True,False,False,False,False,0.679,0.7692990443172705,0.6290269424156062,0.5776361538959173,,,results/phase2_relbench/rel-amazon_item-churn_fdhg_wo_ambiguity_seed42_fdhg/dfs_agg_rel-amazon_item-churn_tabpfn_seed42.json,ok,
rel-amazon,item-churn,fdhg_dmax1_no_ambiguity,42,tabpfn,val,,,19,,1,False,False,False,False,False,0.631,0.6846872780407827,0.5645325411982625,0.6354347408035148,,,results/phase2_relbench/rel-amazon_item-churn_fdhg_wo_ambiguity_seed42_naive/dfs_agg_rel-amazon_item-churn_tabpfn_seed42.json,ok,
rel-amazon,item-churn,fdhg_dmax1_no_ambiguity,43,tabpfn,val,,,24,,1,True,False,False,False,False,0.6455,0.7295331068830887,0.6110713669827608,0.6471730548705474,,,results/phase2_relbench/rel-amazon_item-churn_fdhg_wo_ambiguity_seed43_dfs/dfs_agg_rel-amazon_item-churn_tabpfn_seed43.json,ok,
rel-amazon,item-churn,fdhg_dmax1_no_ambiguity,43,tabpfn,val,,,24,,1,True,False,False,False,False,0.6455,0.7295331068830887,0.6110713669827608,0.6471730548705474,,,results/phase2_relbench/rel-amazon_item-churn_fdhg_wo_ambiguity_seed43_fdhg/dfs_agg_rel-amazon_item-churn_tabpfn_seed43.json,ok,
rel-amazon,item-churn,fdhg_dmax1_no_ambiguity,43,tabpfn,val,,,19,,1,False,False,False,False,False,0.6025,0.6510261090405827,0.5674182305531265,0.6464457936354159,,,results/phase2_relbench/rel-amazon_item-churn_fdhg_wo_ambiguity_seed43_naive/dfs_agg_rel-amazon_item-churn_tabpfn_seed43.json,ok,
rel-amazon,item-churn,fdhg_dmax1_no_ambiguity,44,tabpfn,val,,,24,,1,True,False,False,False,False,0.682,0.7722170646445311,0.6498633602622272,0.5895964835456423,,,results/phase2_relbench/rel-amazon_item-churn_fdhg_wo_ambiguity_seed44_dfs/dfs_agg_rel-amazon_item-churn_tabpfn_seed44.json,ok,
rel-amazon,item-churn,fdhg_dmax1_no_ambiguity,44,tabpfn,val,,,24,,1,True,False,False,False,False,0.682,0.7722170646445311,0.6498633602622272,0.5895964835456423,,,results/phase2_relbench/rel-amazon_item-churn_fdhg_wo_ambiguity_seed44_fdhg/dfs_agg_rel-amazon_item-churn_tabpfn_seed44.json,ok,
rel-amazon,item-churn,fdhg_dmax1_no_ambiguity,44,tabpfn,val,,,19,,1,False,False,False,False,False,0.627,0.6818104330037505,0.5542302092851948,0.6334149361514593,,,results/phase2_relbench/rel-amazon_item-churn_fdhg_wo_ambiguity_seed44_naive/dfs_agg_rel-amazon_item-churn_tabpfn_seed44.json,ok,
rel-amazon,item-churn,fdhg_dmax1_random_same_budget,41,tabpfn,val,,,32,,1,True,True,False,False,False,0.68,0.7580801967807539,0.6357261426402905,0.601670351259766,,,results/phase2_relbench/rel-amazon_item-churn_random_same_budget_seed41_fdhg/dfs_agg_rel-amazon_item-churn_tabpfn_seed41.json,ok,
rel-amazon,item-churn,fdhg_dmax1_random_same_budget,42,tabpfn,val,,,32,,1,True,True,False,False,False,0.6785,0.7694690500849509,0.6296644701412522,0.5752717071172018,,,results/phase2_relbench/rel-amazon_item-churn_random_same_budget_seed42_fdhg/dfs_agg_rel-amazon_item-churn_tabpfn_seed42.json,ok,
rel-amazon,item-churn,fdhg_dmax1_random_same_budget,43,tabpfn,val,,,32,,1,True,True,False,False,False,0.644,0.7303601292661972,0.6142614379310265,0.6472792624778508,,,results/phase2_relbench/rel-amazon_item-churn_random_same_budget_seed43_fdhg/dfs_agg_rel-amazon_item-churn_tabpfn_seed43.json,ok,
rel-amazon,item-churn,fdhg_dmax1_random_same_budget,44,tabpfn,val,,,32,,1,True,True,False,False,False,0.6835,0.7723372179478227,0.6518245412182467,0.5918242929364231,,,results/phase2_relbench/rel-amazon_item-churn_random_same_budget_seed44_fdhg/dfs_agg_rel-amazon_item-churn_tabpfn_seed44.json,ok,
rel-amazon,item-churn,fdhg_dmax1_shuffle_ambiguity,41,tabpfn,val,,,32,,1,True,True,False,False,False,0.679,0.7576685258587855,0.6353996085873213,0.6005499411437101,,,results/phase2_relbench/rel-amazon_item-churn_shuffle_ambiguity_seed41_fdhg/dfs_agg_rel-amazon_item-churn_tabpfn_seed41.json,ok,
rel-amazon,item-churn,fdhg_dmax1_shuffle_ambiguity,42,tabpfn,val,,,32,,1,True,True,False,False,False,0.6785,0.7695211990934416,0.6301872287949235,0.5780673358626458,,,results/phase2_relbench/rel-amazon_item-churn_shuffle_ambiguity_seed42_fdhg/dfs_agg_rel-amazon_item-churn_tabpfn_seed42.json,ok,
