feature,roc_auc,roc_auc_oriented,average_precision,score,nunique,nonnull_rate
dmax2_postHistory_UserId_PostId_posts__nunique_Body,0.7754659126668727,0.7754659126668727,0.26146168660742364,0.5509318253337454,343,1.0
dmax2_postHistory_UserId_PostId_posts__count_distinct_PostId,0.775457315701167,0.775457315701167,0.26146412098734934,0.5509146314023341,342,1.0
dmax2_postHistory_UserId_PostId_posts__nunique_Title,0.748651812988545,0.748651812988545,0.2396301528206878,0.49730362597709,204,1.0
dmax2_postHistory_UserId_PostId_posts__nunique_Tags,0.7486332253673792,0.7486332253673792,0.23948984524688618,0.4972664507347584,196,1.0
dmax2_postHistory_UserId_PostId_posts__nunique_ContentLicense,0.7419179118370953,0.7419179118370953,0.14229068857548596,0.48383582367419065,4,1.0
dmax2_comments_UserId_PostId_posts__nunique_Body,0.7329982807705014,0.7329982807705014,0.2432148560395883,0.4659965615410029,346,1.0
dmax2_comments_UserId_PostId_posts__count_distinct_PostId,0.732997607653806,0.732997607653806,0.24321406963212483,0.4659952153076119,345,1.0
dmax2_comments_UserId_PostId_posts__nunique_ContentLicense,0.7201222415920552,0.7201222415920552,0.15321060516018037,0.44024448318411036,4,1.0
dmax2_comments_UserId_PostId_posts__nunique_Tags,0.6965250189675448,0.6965250189675448,0.21440096959527385,0.39305003793508964,251,1.0
dmax2_comments_UserId_PostId_posts__nunique_Title,0.6965244306722805,0.6965244306722805,0.21457420490509868,0.3930488613445611,269,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__count_distinct_AcceptedAnswerId,0.6902521612964336,0.6902521612964336,0.20072652127286036,0.38050432259286726,59,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__nunique_Body,0.6902509991610042,0.6902509991610042,0.20071037930396168,0.3805019983220084,59,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__nunique_ContentLicense,0.6855577270932905,0.6855577270932905,0.1427288263154604,0.3711154541865811,4,1.0
dmax2_posts_OwnerUserId_ParentId_posts__nunique_Body,0.6373852552860524,0.6373852552860524,0.17244035592164597,0.2747705105721048,264,1.0
dmax2_posts_OwnerUserId_ParentId_posts__count_distinct_ParentId,0.6373852124662303,0.6373852124662303,0.17243906516243535,0.2747704249324605,264,1.0
dmax2_posts_OwnerUserId_ParentId_posts__nunique_Title,0.6373818250637346,0.6373818250637346,0.17242297401203246,0.2747636501274693,264,1.0
dmax2_posts_OwnerUserId_ParentId_posts__nunique_Tags,0.6373815365072258,0.6373815365072258,0.17243073800361103,0.2747630730144517,256,1.0
dmax2_posts_OwnerUserId_ParentId_posts__nunique_ContentLicense,0.6348027604439319,0.6348027604439319,0.12515090299085796,0.2696055208878638,4,1.0
dmax2_comments_UserId_PostId_posts__nunique_OwnerDisplayName,0.5556953535474531,0.5556953535474531,0.1030297290751353,0.11139070709490628,51,1.0
dmax2_posts_OwnerUserId_ParentId_posts__nunique_OwnerDisplayName,0.5446553778887493,0.5446553778887493,0.09690540363203404,0.08931075577749858,38,1.0
dmax2_votes_UserId_PostId_posts__nunique_Tags,0.539596935922618,0.539596935922618,0.0881146055055641,0.07919387184523607,27,1.0
dmax2_votes_UserId_PostId_posts__count_distinct_PostId,0.5395968000992329,0.5395968000992329,0.08807154381721016,0.07919360019846589,27,1.0
dmax2_votes_UserId_PostId_posts__nunique_Title,0.5395968000992329,0.5395968000992329,0.08807154381721016,0.07919360019846589,27,1.0
dmax2_votes_UserId_PostId_posts__nunique_Body,0.5395968000992329,0.5395968000992329,0.08807154381721016,0.07919360019846589,27,1.0
dmax2_votes_UserId_PostId_posts__nunique_ContentLicense,0.539521708313444,0.539521708313444,0.07865216152613481,0.07904341662688807,4,1.0
dmax2_postHistory_UserId_PostId_posts__nunique_OwnerDisplayName,0.5371530736641129,0.5371530736641129,0.07709985404703484,0.07430614732822582,45,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__nunique_OwnerDisplayName,0.5177989465887356,0.5177989465887356,0.06242503229913602,0.035597893177471196,6,1.0
dmax2_votes_UserId_PostId_posts__nunique_OwnerDisplayName,0.5010791917974021,0.5010791917974021,0.04909777106996123,0.0021583835948042474,9,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__nunique_Title,,,,-1.0,1,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__nunique_Tags,,,,-1.0,1,1.0
