seed,metric,direction,base_variant,candidate_variant,base_score,candidate_score,improvement,secondary_metric,secondary_direction,secondary_base_score,secondary_candidate_score,secondary_improvement,base_metrics_path,candidate_metrics_path,base_n_features,candidate_n_features,gate_outcome,selected_variant,selected_score
41,rmse,minimize,dfs,fdhg_dmax1,43.2568739968288,41.639127351248185,1.6177466455806169,,,,,,/home/evelyn/fdhg-icl-paper/results/rel-ratebeer_user-count_tabpfn/dfs/seed41/metrics.csv,/home/evelyn/fdhg-icl-paper/results/rel-ratebeer_user-count_tabpfn/fdhg_dmax1/seed41/metrics.csv,9,17,SELECT,fdhg_dmax1,41.639127351248185
42,rmse,minimize,dfs,fdhg_dmax1,43.25683396695997,41.49370293140522,1.7631310355547498,,,,,,/home/evelyn/fdhg-icl-paper/results/rel-ratebeer_user-count_tabpfn/dfs/seed42/metrics.csv,/home/evelyn/fdhg-icl-paper/results/rel-ratebeer_user-count_tabpfn/fdhg_dmax1/seed42/metrics.csv,9,17,SELECT,fdhg_dmax1,41.49370293140522
43,rmse,minimize,dfs,fdhg_dmax1,43.2711234785932,41.77317949772564,1.4979439808675608,,,,,,/home/evelyn/fdhg-icl-paper/results/rel-ratebeer_user-count_tabpfn/dfs/seed43/metrics.csv,/home/evelyn/fdhg-icl-paper/results/rel-ratebeer_user-count_tabpfn/fdhg_dmax1/seed43/metrics.csv,9,17,SELECT,fdhg_dmax1,41.77317949772564
44,rmse,minimize,dfs,fdhg_dmax1,43.268118777388864,41.67109869177757,1.597020085611291,,,,,,/home/evelyn/fdhg-icl-paper/results/rel-ratebeer_user-count_tabpfn/dfs/seed44/metrics.csv,/home/evelyn/fdhg-icl-paper/results/rel-ratebeer_user-count_tabpfn/fdhg_dmax1/seed44/metrics.csv,9,17,SELECT,fdhg_dmax1,41.67109869177757
