feature,roc_auc,roc_auc_oriented,average_precision,score,nunique,nonnull_rate
dmax2_postHistory_UserId_PostId_posts__nunique_Body,0.7725977261528911,0.7725977261528911,0.26522657599193744,0.5451954523057823,331,1.0
dmax2_postHistory_UserId_PostId_posts__count_distinct_PostId,0.7725962296410156,0.7725962296410156,0.2652252626489905,0.5451924592820312,329,1.0
dmax2_postHistory_UserId_PostId_posts__nunique_Title,0.7485855257218671,0.7485855257218671,0.24415089902514028,0.4971710514437342,205,1.0
dmax2_postHistory_UserId_PostId_posts__nunique_Tags,0.7485250829518141,0.7485250829518141,0.2441098366882048,0.49705016590362816,193,1.0
dmax2_postHistory_UserId_PostId_posts__nunique_ContentLicense,0.7412892142977188,0.7412892142977188,0.14546812179235535,0.48257842859543754,4,1.0
dmax2_comments_UserId_PostId_posts__nunique_Body,0.7304561224736373,0.7304561224736373,0.24480329468330211,0.4609122449472747,345,1.0
dmax2_comments_UserId_PostId_posts__count_distinct_PostId,0.7304554679031068,0.7304554679031068,0.2448025289750768,0.46091093580621356,345,1.0
dmax2_comments_UserId_PostId_posts__nunique_ContentLicense,0.7178302099682256,0.7178302099682256,0.15513264217397965,0.4356604199364511,4,1.0
dmax2_comments_UserId_PostId_posts__nunique_Title,0.6971735161745196,0.6971735161745196,0.21640424633790864,0.39434703234903923,254,1.0
dmax2_comments_UserId_PostId_posts__nunique_Tags,0.6971556030337381,0.6971556030337381,0.21633706241449985,0.39431120606747627,244,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__count_distinct_AcceptedAnswerId,0.6839797544607754,0.6839797544607754,0.1988399204402598,0.3679595089215508,63,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__nunique_Body,0.6839751582847001,0.6839751582847001,0.19882417809488276,0.36795031656940025,63,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__nunique_ContentLicense,0.6795275500826914,0.6795275500826914,0.1423631768718589,0.3590551001653828,4,1.0
dmax2_posts_OwnerUserId_ParentId_posts__nunique_Title,0.6343061939663761,0.6343061939663761,0.1720735632722673,0.2686123879327522,261,1.0
dmax2_posts_OwnerUserId_ParentId_posts__nunique_Body,0.6343061650561777,0.6343061650561777,0.17207515540281515,0.2686123301123553,261,1.0
dmax2_posts_OwnerUserId_ParentId_posts__count_distinct_ParentId,0.6343059915949871,0.6343059915949871,0.1720710557725188,0.26861198318997426,261,1.0
dmax2_posts_OwnerUserId_ParentId_posts__nunique_Tags,0.6342825527879768,0.6342825527879768,0.17194360780175735,0.2685651055759537,257,1.0
dmax2_posts_OwnerUserId_ParentId_posts__nunique_ContentLicense,0.6318643723315001,0.6318643723315001,0.12455745899627951,0.2637287446630001,4,1.0
dmax2_comments_UserId_PostId_posts__nunique_OwnerDisplayName,0.5548149338193737,0.5548149338193737,0.10187306498227641,0.10962986763874749,47,1.0
dmax2_posts_OwnerUserId_ParentId_posts__nunique_OwnerDisplayName,0.5448666571644845,0.5448666571644845,0.09745826137994683,0.08973331432896892,35,1.0
dmax2_votes_UserId_PostId_posts__count_distinct_PostId,0.5408696664979511,0.5408696664979511,0.09011126551635673,0.08173933299590219,25,1.0
dmax2_votes_UserId_PostId_posts__nunique_Title,0.5408696664979511,0.5408696664979511,0.09011126551635673,0.08173933299590219,25,1.0
dmax2_votes_UserId_PostId_posts__nunique_Body,0.5408696664979511,0.5408696664979511,0.09011126551635673,0.08173933299590219,25,1.0
dmax2_votes_UserId_PostId_posts__nunique_Tags,0.5408696664979511,0.5408696664979511,0.09011074630555713,0.08173933299590219,26,1.0
dmax2_votes_UserId_PostId_posts__nunique_ContentLicense,0.5407928531916667,0.5407928531916667,0.07992842352726517,0.0815857063833334,4,1.0
dmax2_postHistory_UserId_PostId_posts__nunique_OwnerDisplayName,0.5370284638904258,0.5370284638904258,0.0792679168098336,0.0740569277808516,41,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__nunique_OwnerDisplayName,0.5177272716611161,0.5177272716611161,0.061962645604040696,0.03545454332223219,6,1.0
dmax2_votes_UserId_PostId_posts__nunique_OwnerDisplayName,0.5011468896635731,0.5011468896635731,0.04937481713648912,0.0022937793271462503,5,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__nunique_Title,,,,-1.0,1,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__nunique_Tags,,,,-1.0,1,1.0
