dataset,task,variant,K,n_runs,seeds,n_features_mean,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,log_loss_mean,log_loss_std,delta_vs_K0_accuracy,delta_vs_K0_roc_auc,delta_vs_K0_average_precision,delta_vs_K0_log_loss
rel-stack,user-badge,fdhg_dmax1_small_budget,0,4,"41,42,43,44",11.0,0.96025,0.009630680142129,0.8019841905935903,0.0435300875926726,0.2995231197910959,0.019999717297825,0.2459574519997974,0.0362679779395259,0.0,0.0,0.0,0.0
rel-stack,user-badge,fdhg_dmax1_small_budget,1,4,"41,42,43,44",13.0,0.96375,0.0101447851956888,0.8545605525146236,0.0186911834420692,0.3094152860193974,0.0291908120220886,0.1557202468515268,0.0208054106827117,0.0034999999999999476,0.05257636192103332,0.009892166228301469,-0.0902372051482706
rel-stack,user-badge,fdhg_dmax1_small_budget,2,4,"41,42,43,44",15.0,0.964,0.0077136243102708,0.8608358189809415,0.0195975726567428,0.309960580227793,0.0264302238252935,0.1574587635040066,0.0221606953704949,0.00374999999999992,0.05885162838735125,0.010437460436697077,-0.08849868849579082
rel-stack,user-badge,fdhg_dmax1_small_budget,4,4,"41,42,43,44",19.0,0.96325,0.0075332595866596,0.8677841158173002,0.0180539357077844,0.3164206093388525,0.0277298428110608,0.1505910841777755,0.009964745731873,0.0030000000000000027,0.06579992522370992,0.016897489547756606,-0.0953663678220219
