dataset,task,task_family,decoder,variant,gate_selected,n_features_mean,n_classes_train_mean,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,log_loss_mean,log_loss_std,gate_decision,fdhg_no_gate_minus_dfs_accuracy_delta,fdhg_no_gate_minus_dfs_macro_f1_delta,fdhg_no_gate_minus_dfs_weighted_f1_delta,fdhg_no_gate_minus_dfs_log_loss_delta
rel-salt,item-shippoint,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,dfs_base,False,9.0,58.0,0.7492477432296891,0.0017372625953548,0.3892182805785398,0.0136378565821991,0.6506638519597185,0.0018625733399379,0.6107081134460168,0.0045721981464892,,0.0604312938816449,0.1754829496391102,0.1430046991296402,-0.1921909025206426
rel-salt,item-shippoint,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,fdhg_no_gate,True,17.0,58.0,0.809679037111334,0.0250233498834719,0.5647012302176501,0.0198992186687051,0.7936685510893587,0.0142053131140472,0.4185172109253742,0.0366338052016662,,0.0604312938816449,0.1754829496391102,0.1430046991296402,-0.1921909025206426
rel-salt,item-shippoint,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,fdhg_v2_gated,True,17.0,58.0,0.809679037111334,0.0250233498834719,0.5647012302176501,0.0198992186687051,0.7936685510893587,0.0142053131140472,0.4185172109253742,0.0366338052016662,select_fdhg_residual,0.0604312938816449,0.1754829496391102,0.1430046991296402,-0.1921909025206426
rel-salt,item-plant,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,dfs_base,True,9.0,29.0,0.9662907268170426,0.0026005651489178,0.756258373575986,0.0190810890081323,0.9623445007668278,0.0021640458721252,0.1495750886442369,0.0041984141815194,,-0.0008771929824561,0.0050465978222076,0.0016130813611425,-0.0172404843733189
rel-salt,item-plant,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,fdhg_no_gate,False,17.0,29.0,0.9654135338345864,0.0010828305260497,0.7613049713981936,0.0374168737980706,0.9639575821279704,0.001345832737834,0.1323346042709179,0.0040023588365047,,-0.0008771929824561,0.0050465978222076,0.0016130813611425,-0.0172404843733189
rel-salt,item-plant,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,fdhg_v2_gated,True,9.0,29.0,0.9662907268170426,0.0026005651489178,0.756258373575986,0.0190810890081323,0.9623445007668278,0.0021640458721252,0.1495750886442369,0.0041984141815194,reject_fdhg_residual_fallback_to_dfs,-0.0008771929824561,0.0050465978222076,0.0016130813611425,-0.0172404843733189
rel-salt,item-incoterms,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,dfs_base,True,9.0,12.0,0.692375,0.00225,0.1436839005763356,0.0038984107494435,0.6097078845668732,0.0051374875297348,1.0911707904662415,0.0010787050778806,,-0.0022499999999999,0.0920549195695177,0.0171474277015105,-0.0486601518652252
rel-salt,item-incoterms,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,fdhg_no_gate,False,17.0,12.0,0.690125,0.0027195281453467,0.2357388201458533,0.0009651412021206,0.6268553122683838,0.0015855080407198,1.0425106386010163,0.0044497900486449,,-0.0022499999999999,0.0920549195695177,0.0171474277015105,-0.0486601518652252
rel-salt,item-incoterms,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,fdhg_v2_gated,True,9.0,12.0,0.692375,0.00225,0.1436839005763356,0.0038984107494435,0.6097078845668732,0.0051374875297348,1.0911707904662415,0.0010787050778806,reject_fdhg_residual_fallback_to_dfs,-0.0022499999999999,0.0920549195695177,0.0171474277015105,-0.0486601518652252
