dataset,task,task_family,decoder,gate_decision,n_classes,n_features_dfs,n_features_fdhg,dfs_accuracy,fdhg_accuracy,gated_accuracy,delta_accuracy,dfs_macro_f1,fdhg_macro_f1,gated_macro_f1,delta_macro_f1,dfs_weighted_f1,fdhg_weighted_f1,gated_weighted_f1,delta_weighted_f1,dfs_log_loss,fdhg_log_loss,gated_log_loss,delta_log_loss
rel-salt,item-incoterms,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,reject_fdhg_residual_fallback_to_dfs,12.0,9.0,17.0,0.692375,0.690125,0.692375,-0.0022499999999999,0.1436839005763356,0.2357388201458533,0.1436839005763356,0.0920549195695177,0.6097078845668732,0.6268553122683838,0.6097078845668732,0.0171474277015105,1.0911707904662415,1.0425106386010163,1.0911707904662415,-0.0486601518652252
rel-salt,item-plant,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,reject_fdhg_residual_fallback_to_dfs,29.0,9.0,17.0,0.9662907268170426,0.9654135338345864,0.9662907268170426,-0.0008771929824561,0.756258373575986,0.7613049713981936,0.756258373575986,0.0050465978222076,0.9623445007668278,0.9639575821279704,0.9623445007668278,0.0016130813611425,0.1495750886442369,0.1323346042709179,0.1495750886442369,-0.0172404843733189
rel-salt,item-shippoint,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,select_fdhg_residual,58.0,9.0,17.0,0.7492477432296891,0.809679037111334,0.809679037111334,0.0604312938816449,0.3892182805785398,0.5647012302176501,0.5647012302176501,0.1754829496391102,0.6506638519597185,0.7936685510893587,0.7936685510893587,0.1430046991296402,0.6107081134460168,0.4185172109253742,0.4185172109253742,-0.1921909025206426
