dataset,task,task_family,decoder,gate_decision,n_classes,n_features_dfs,n_features_fdhg,dfs_accuracy,fdhg_accuracy,gated_accuracy,delta_accuracy,dfs_macro_f1,fdhg_macro_f1,gated_macro_f1,delta_macro_f1,dfs_weighted_f1,fdhg_weighted_f1,gated_weighted_f1,delta_weighted_f1,dfs_log_loss,fdhg_log_loss,gated_log_loss,delta_log_loss,task_group,gate_reason,dfs_mrr,fdhg_mrr,delta_mrr,gate_outcome
rel-salt,item-incoterms,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,reject_fdhg_residual_fallback_to_dfs,12.0,9.0,17.0,0.692375,0.690125,0.692375,-0.0022499999999999,0.1436839005763356,0.2357388201458533,0.1436839005763356,0.0920549195695177,0.6097078845668732,0.6268553122683838,0.6097078845668732,0.0171474277015105,1.0911707904662415,1.0425106386010163,1.0911707904662415,-0.0486601518652252,item,,,,,FALLBACK
rel-salt,item-plant,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,reject_fdhg_residual_fallback_to_dfs,29.0,9.0,17.0,0.9662907268170426,0.9654135338345864,0.9662907268170426,-0.0008771929824561,0.756258373575986,0.7613049713981936,0.756258373575986,0.0050465978222076,0.9623445007668278,0.9639575821279704,0.9623445007668278,0.0016130813611425,0.1495750886442369,0.1323346042709179,0.1495750886442369,-0.0172404843733189,item,,,,,FALLBACK
rel-salt,item-shippoint,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,select_fdhg_residual,58.0,9.0,17.0,0.7492477432296891,0.809679037111334,0.809679037111334,0.0604312938816449,0.3892182805785398,0.5647012302176501,0.5647012302176501,0.1754829496391102,0.6506638519597185,0.7936685510893587,0.7936685510893587,0.1430046991296402,0.6107081134460168,0.4185172109253742,0.4185172109253742,-0.1921909025206426,item,,,,,SELECT
rel-salt,sales-group,,catboost_multiclass,select_fdhg_residual,385.0,,,0.0775193798449612,0.0806201550387596,,0.0031007751937984,0.0019129858372315,0.0031465568536128,,0.0012335710163813,0.0133542689234243,0.0177520891951766,,0.0043978202717523,5.427295786063885,5.389760948668481,,-0.0375348373954036,sales,,0.1212239134713664,0.1260092926883479,0.0047853792169814,SELECT
rel-salt,sales-incoterms,,tabpfn_classifier_multiclass,select_fdhg_residual,12.0,,,0.592,0.597,,0.005,0.0743718592964824,0.0937962777666599,,0.0194244184701774,0.4402814070351759,0.4542553532119271,,0.0139739461767512,1.4319715282573584,1.4102735463858282,,-0.0216979818715301,sales,higher_accuracy,0.724197123015873,0.7278861336580087,0.0036890106421356,SELECT
rel-salt,sales-office,,tabpfn_classifier_multiclass,select_fdhg_residual,14.0,,,0.999375,0.999625,,0.0002499999999999,0.425,0.675,,0.25,0.999375,0.999625,,0.0002499999999999,0.0019605021971111,0.0016521179914061,,-0.000308384205705,sales,higher_accuracy,0.9995729166666668,0.9997708333333334,0.0001979166666666,SELECT
rel-salt,sales-payterms,,tabpfn_classifier_multiclass,select_fdhg_residual,107.0,,,0.2827663831915957,0.2831415707853927,,0.0003751875937969,0.0061942685462466,0.007148369036781,,0.0009541004905343,0.1248153772741447,0.1255664712500426,,0.0007510939758978,2.7208109883011296,2.703738989081054,,-0.0170719992200756,sales,higher_accuracy,0.4637735752659486,0.4652070372327341,0.0014334619667855,SELECT
rel-salt,sales-shipcond,,tabpfn_classifier_multiclass,select_fdhg_residual,32.0,,,0.2722722722722723,0.2722722722722722,,-5.551115123125783e-17,0.01624978629559,0.0181319430893771,,0.0018821567937871,0.1179328734355557,0.1235121929073357,,0.00557931947178,2.280721489082585,2.250678511048909,,-0.0300429780336757,sales,accuracy_tie_higher_mrr,0.474165260559762,0.4767277348289658,0.0025624742692037,SELECT
