dataset,task,decoder,n_classes,gate_decision,gate_reason,dfs_accuracy,fdhg_accuracy,delta_accuracy,dfs_macro_f1,fdhg_macro_f1,delta_macro_f1,dfs_weighted_f1,fdhg_weighted_f1,delta_weighted_f1,dfs_mrr,fdhg_mrr,delta_mrr,dfs_log_loss,fdhg_log_loss,delta_log_loss
rel-salt,sales-group,catboost_multiclass,385.0,select_fdhg_residual,,0.0775193798449612,0.0806201550387596,0.003100775193798408,0.0019129858372315,0.0031465568536128,0.0012335710163813,0.0133542689234243,0.0177520891951766,0.0043978202717523,0.1212239134713664,0.1260092926883479,0.004785379216981495,5.427295786063885,5.389760948668481,-0.03753483739540364
rel-salt,sales-incoterms,tabpfn_classifier_multiclass,12.0,select_fdhg_residual,higher_accuracy,0.592,0.597,0.0050000000000000044,0.0743718592964824,0.0937962777666599,0.019424418470177493,0.4402814070351759,0.4542553532119271,0.01397394617675124,0.724197123015873,0.7278861336580087,0.0036890106421356705,1.4319715282573584,1.4102735463858282,-0.02169798187153016
rel-salt,sales-office,tabpfn_classifier_multiclass,14.0,select_fdhg_residual,higher_accuracy,0.999375,0.999625,0.00024999999999997247,0.425,0.675,0.25000000000000006,0.999375,0.999625,0.00024999999999997247,0.9995729166666667,0.9997708333333334,0.0001979166666666865,0.001960502197111175,0.00165211799140615,-0.00030838420570502493
rel-salt,sales-payterms,tabpfn_classifier_multiclass,107.0,select_fdhg_residual,higher_accuracy,0.28276638319159575,0.2831415707853927,0.0003751875937969551,0.006194268546246675,0.007148369036781,0.0009541004905343252,0.12481537727414474,0.1255664712500426,0.0007510939758978707,0.4637735752659486,0.4652070372327341,0.0014334619667855097,2.7208109883011296,2.703738989081054,-0.01707199922007563
rel-salt,sales-shipcond,tabpfn_classifier_multiclass,32.0,select_fdhg_residual,accuracy_tie_higher_mrr,0.2722722722722723,0.27227227227227224,-5.551115123125783e-17,0.01624978629559,0.018131943089377198,0.0018821567937871986,0.1179328734355557,0.12351219290733575,0.005579319471780059,0.47416526055976205,0.4767277348289658,0.0025624742692037517,2.280721489082585,2.250678511048909,-0.030042978033675727
