seed,metric,direction,base_variant,candidate_variant,base_score,candidate_score,improvement,secondary_metric,secondary_direction,secondary_base_score,secondary_candidate_score,secondary_improvement,base_metrics_path,candidate_metrics_path,base_n_features,candidate_n_features,gate_outcome,selected_variant,selected_score
41,accuracy,maximize,dfs,fdhg_dmax1,0.592,0.597,0.0050000000000000044,,,,,,/home/evelyn/fdhg-icl-paper/results/rel-salt_sales-incoterms_tabpfn/dfs/seed41/metrics.csv,/home/evelyn/fdhg-icl-paper/results/rel-salt_sales-incoterms_tabpfn/fdhg_dmax1/seed41/metrics.csv,9,17,SELECT,fdhg_dmax1,0.597
42,accuracy,maximize,dfs,fdhg_dmax1,0.592,0.597,0.0050000000000000044,,,,,,/home/evelyn/fdhg-icl-paper/results/rel-salt_sales-incoterms_tabpfn/dfs/seed42/metrics.csv,/home/evelyn/fdhg-icl-paper/results/rel-salt_sales-incoterms_tabpfn/fdhg_dmax1/seed42/metrics.csv,9,17,SELECT,fdhg_dmax1,0.597
43,accuracy,maximize,dfs,fdhg_dmax1,0.592,0.597,0.0050000000000000044,,,,,,/home/evelyn/fdhg-icl-paper/results/rel-salt_sales-incoterms_tabpfn/dfs/seed43/metrics.csv,/home/evelyn/fdhg-icl-paper/results/rel-salt_sales-incoterms_tabpfn/fdhg_dmax1/seed43/metrics.csv,9,17,SELECT,fdhg_dmax1,0.597
44,accuracy,maximize,dfs,fdhg_dmax1,0.592,0.597,0.0050000000000000044,,,,,,/home/evelyn/fdhg-icl-paper/results/rel-salt_sales-incoterms_tabpfn/dfs/seed44/metrics.csv,/home/evelyn/fdhg-icl-paper/results/rel-salt_sales-incoterms_tabpfn/fdhg_dmax1/seed44/metrics.csv,9,17,SELECT,fdhg_dmax1,0.597
