feature,roc_auc,roc_auc_oriented,average_precision,mutual_info,score,nunique,nonnull_rate
dmax2_postHistory_UserId_PostId_posts__nunique_Body,0.7740380843317034,0.7740380843317034,0.2689697324947527,0.03382027737434057,0.2689697324947527,353,1.0
dmax2_postHistory_UserId_PostId_posts__count_distinct_PostId,0.774045870720902,0.774045870720902,0.268962605137196,0.0338192998614022,0.268962605137196,354,1.0
dmax2_comments_UserId_PostId_posts__nunique_Body,0.7329770871404112,0.7329770871404112,0.24933612794725923,0.029606953984108175,0.24933612794725923,349,1.0
dmax2_comments_UserId_PostId_posts__count_distinct_PostId,0.7329770868676734,0.7329770868676734,0.24933461009310723,0.029606953984108175,0.24933461009310723,348,1.0
dmax2_postHistory_UserId_PostId_posts__nunique_Title,0.7485417676819001,0.7485417676819001,0.24665951246178797,0.029908818486859445,0.24665951246178797,212,1.0
dmax2_postHistory_UserId_PostId_posts__nunique_Tags,0.7485008619330198,0.7485008619330198,0.24643827494941664,0.030064064042699457,0.24643827494941664,206,1.0
dmax2_comments_UserId_PostId_posts__nunique_Title,0.6996564917496021,0.6996564917496021,0.22014500329388428,0.025436213873782032,0.22014500329388428,254,1.0
dmax2_comments_UserId_PostId_posts__nunique_Tags,0.6996325333772332,0.6996325333772332,0.2198753973218058,0.025493401667209703,0.2198753973218058,254,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__count_distinct_AcceptedAnswerId,0.6892125170140609,0.6892125170140609,0.20326920217930433,0.02492712834295263,0.20326920217930433,60,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__nunique_Body,0.6892125170140609,0.6892125170140609,0.20326920217930433,0.02492712834295263,0.20326920217930433,60,1.0
dmax2_posts_OwnerUserId_ParentId_posts__nunique_Title,0.6380686211924519,0.6380686211924519,0.1740754883576677,0.017298688361576664,0.1740754883576677,265,1.0
dmax2_posts_OwnerUserId_ParentId_posts__count_distinct_ParentId,0.6380684139117839,0.6380684139117839,0.17407278568469872,0.01730408000298822,0.17407278568469872,265,1.0
dmax2_posts_OwnerUserId_ParentId_posts__nunique_Body,0.6380684139117839,0.6380684139117839,0.17407278568469872,0.01730408000298822,0.17407278568469872,265,1.0
dmax2_posts_OwnerUserId_ParentId_posts__nunique_Tags,0.6380734590141481,0.6380734590141481,0.17402118340868838,0.017321427895995667,0.17402118340868838,268,1.0
dmax2_comments_UserId_PostId_posts__nunique_ContentLicense,0.7192477765466398,0.7192477765466398,0.15573667495467114,0.02656240104560803,0.15573667495467114,4,1.0
dmax2_postHistory_UserId_PostId_posts__nunique_ContentLicense,0.7416505454127125,0.7416505454127125,0.1487978956225993,0.031571390501324625,0.1487978956225993,4,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__nunique_ContentLicense,0.6844701723391476,0.6844701723391476,0.14670012720761175,0.022253574560882727,0.14670012720761175,4,1.0
dmax2_posts_OwnerUserId_ParentId_posts__nunique_ContentLicense,0.6354947418622019,0.6354947418622019,0.12769000342154652,0.016193988229668665,0.12769000342154652,4,1.0
dmax2_comments_UserId_PostId_posts__nunique_OwnerDisplayName,0.5570585831351758,0.5570585831351758,0.10606023466749843,0.009232080938667675,0.10606023466749843,55,1.0
dmax2_posts_OwnerUserId_ParentId_posts__nunique_OwnerDisplayName,0.5453767217045934,0.5453767217045934,0.09869720584634158,0.007826349798106813,0.09869720584634158,36,1.0
dmax2_votes_UserId_PostId_posts__nunique_Tags,0.5405591109644874,0.5405591109644874,0.08851630381396634,0.006647497778489164,0.08851630381396634,31,1.0
dmax2_votes_UserId_PostId_posts__count_distinct_PostId,0.5405590089605796,0.5405590089605796,0.08849504474299995,0.006648566179995097,0.08849504474299995,33,1.0
dmax2_votes_UserId_PostId_posts__nunique_Title,0.5405590089605796,0.5405590089605796,0.08849504474299995,0.006648566179995097,0.08849504474299995,33,1.0
dmax2_votes_UserId_PostId_posts__nunique_Body,0.5405590089605796,0.5405590089605796,0.08849504474299995,0.006648566179995097,0.08849504474299995,33,1.0
dmax2_postHistory_UserId_PostId_posts__nunique_OwnerDisplayName,0.5378024872698305,0.5378024872698305,0.08072732444898342,0.006130354565255569,0.08072732444898342,47,1.0
dmax2_votes_UserId_PostId_posts__nunique_ContentLicense,0.5404852025876701,0.5404852025876701,0.07890512399895738,0.006157378269613378,0.07890512399895738,4,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__nunique_OwnerDisplayName,0.5190735718730171,0.5190735718730171,0.06451734900884634,0.003444331654331112,0.06451734900884634,6,1.0
dmax2_votes_UserId_PostId_posts__nunique_OwnerDisplayName,0.5013440771267366,0.5013440771267366,0.04951647286328861,0.0008918405070570401,0.04951647286328861,8,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__nunique_Title,,,,,-1.0,1,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__nunique_Tags,,,,,-1.0,1,1.0
