variant,n_runs,n_features,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,log_loss_mean,log_loss_std
last_only,4,8.0,0.782243816254417,0.0008833922261484162,0.8057324263038548,0.0009611089109441496,0.9340934953011417,0.0008671089158338477,0.4306469540655632,0.0012246073752969818
temporal_full,4,64.0,0.7977031802120141,0.0017667844522968323,0.8021678004535148,0.002155450165428281,0.9328356355102657,0.0014762111626067263,0.43113585558973355,0.00216343902935376
no_statusId,4,56.0,0.792844522968198,0.005656470174410602,0.8003854875283447,0.0014932232487464435,0.9313558859135973,0.0006133369953194031,0.43297652651654633,0.0026705895266684754
