variant,n_runs,seeds,id_like_selected_edges_mean,meaningful_selected_edges_mean,id_like_ratio_mean,meaningful_recall_mean,n_features_mean,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,log_loss_mean,log_loss_std
with_uniqueness_penalty,8,"41,42,43,44,45,46,47,48",0.0,2.0,0.0,1.0,12.0,0.71775,0.02432436233849932,0.78677304810875,0.02310223171269688,0.785457798821215,0.050911242403714016,0.5597107514691952,0.025725606536317055
without_uniqueness_penalty,8,"41,42,43,44,45,46,47,48",8.0,0.0,1.0,0.0,12.0,0.7219166666666667,0.022946971304803852,0.7857114082923332,0.022562443388759717,0.7842275405363929,0.05033390179480319,0.5608770822197071,0.02494943949690255
