dataset,task,task_family,decoder,gate_decision,n_features_dfs,n_features_fdhg,dfs_auroc,fdhg_auroc,gated_auroc,delta_auroc,dfs_ap,fdhg_ap,gated_ap,delta_ap,dfs_log_loss,fdhg_log_loss,gated_log_loss,delta_log_loss,dfs_rmse,fdhg_rmse,gated_rmse,delta_rmse,dfs_mae,fdhg_mae,gated_mae,delta_mae,dfs_r2,fdhg_r2,gated_r2,delta_r2
rel-ratebeer,beer-churn,relbench_v2_binary_classification,tabpfn_classifier,select_fdhg_residual,9.0,17.0,0.7180368036651759,0.7207478105353555,0.7207478105353555,0.0027110068701796,0.7050811546549642,0.7081209844787228,0.7081209844787228,0.0030398298237586,0.660660584099654,0.6581031299516781,0.6581031299516781,-0.0025574541479759,,,,,,,,,,,,
rel-ratebeer,beer_ratings-total_score_enriched,relbench_v2_autocomplete_regression_rescued,tabpfn_regressor,reject_fdhg_residual_fallback_to_dfs,9.0,17.0,,,,,,,,,,,,,0.6648505990138587,0.6997336088777899,0.6648505990138587,0.0348830098639312,0.4850290156483649,0.5246247980594636,0.4850290156483649,0.0395957824110986,0.0764152856740365,-0.0239312646601763,0.0764152856740365,-0.1003465503342128
rel-ratebeer,brewer-dormant,relbench_v2_binary_classification,tabpfn_classifier,reject_fdhg_residual_fallback_to_dfs,5.0,13.0,0.7749427799737663,0.774415170341747,0.7749427799737663,-0.0005276096320192,0.6080287583047346,0.6099847994596992,0.6080287583047346,0.0019560411549646,0.5510387416743945,0.5512427941288531,0.5510387416743945,0.0002040524544586,,,,,,,,,,,,
rel-ratebeer,user-churn,relbench_v2_binary_classification,tabpfn_classifier,reject_fdhg_residual_fallback_to_dfs,9.0,17.0,0.7806783337113545,0.7801688228417893,0.7806783337113545,-0.0005095108695651,0.8460610296163154,0.8442485771214655,0.8460610296163154,-0.0018124524948498,0.5766863242930735,0.5762785822782767,0.5766863242930735,-0.0004077420147968,,,,,,,,,,,,
rel-ratebeer,user-count,relbench_v2_regression,tabpfn_regressor,select_fdhg_residual,9.0,17.0,,,,,,,,,,,,,53.26252691946856,48.56688657108294,48.56688657108294,-4.695640348385616,18.86509584486112,21.39663556356728,21.39663556356728,2.53153971870616,-0.0664176623494314,0.1102967456657318,0.1102967456657318,0.1767144080151633
rel-ratebeer,user-place-liked_pairwise,pairwise_recommendation_adapter,tabpfn_classifier,reject_fdhg_residual_fallback_to_dfs,10.0,18.0,0.5568190568190569,0.5511175511175511,0.5568190568190569,-0.0057015057015057,0.5326131043677267,0.5265495079181315,0.5326131043677267,-0.0060635964495951,1.0889027886723532,1.112764772778334,1.0889027886723532,0.0238619841059806,,,,,,,,,,,,
