dataset,task,task_family,decoder,gate_decision,dfs_rmse,fdhg_no_gate_rmse,gated_rmse,delta_rmse_no_gate_minus_dfs,dfs_mae,fdhg_no_gate_mae,gated_mae,delta_mae_no_gate_minus_dfs,dfs_r2,fdhg_no_gate_r2,gated_r2,delta_r2_no_gate_minus_dfs,dfs_auroc,fdhg_no_gate_auroc,gated_auroc,delta_auroc_no_gate_minus_dfs,dfs_ap,fdhg_no_gate_ap,gated_ap,delta_ap_no_gate_minus_dfs,dfs_log_loss,fdhg_no_gate_log_loss,gated_log_loss,delta_log_loss_no_gate_minus_dfs
rel-ratebeer,beer_ratings-total_score_enriched,relbench_v2_autocomplete_regression_rescued,tabpfn_regressor,reject_fdhg_residual_fallback_to_dfs,0.6648505990138587,0.6997336088777899,0.6648505990138587,0.0348830098639312,0.4850290156483649,0.5246247980594636,0.4850290156483649,0.0395957824110986,0.0764152856740365,-0.0239312646601763,0.0764152856740365,-0.1003465503342128,,,,,,,,,,,,
rel-ratebeer,user-count,relbench_v2_regression,tabpfn_regressor,select_fdhg_residual,53.26252691946856,48.56688657108294,48.56688657108294,-4.695640348385616,18.86509584486112,21.39663556356728,21.39663556356728,2.53153971870616,-0.0664176623494314,0.1102967456657318,0.1102967456657318,0.1767144080151633,,,,,,,,,,,,
rel-ratebeer,user-place-liked_pairwise,pairwise_recommendation_adapter,tabpfn_classifier,reject_fdhg_residual_fallback_to_dfs,,,,,,,,,,,,,0.5568190568190569,0.5511175511175511,0.5568190568190569,-0.0057015057015057,0.5326131043677267,0.5265495079181315,0.5326131043677267,-0.0060635964495951,1.0889027886723532,1.112764772778334,1.0889027886723532,0.0238619841059806
