feature,roc_auc,roc_auc_oriented,average_precision,score,nunique,nonnull_rate
dmax2_postHistory_UserId_PostId_posts__nunique_Body,0.7733219830803337,0.7733219830803337,0.25992446873563263,0.5466439661606675,329,1.0
dmax2_postHistory_UserId_PostId_posts__count_distinct_PostId,0.7733213369646725,0.7733213369646725,0.25992922937987645,0.5466426739293451,330,1.0
dmax2_postHistory_UserId_PostId_posts__nunique_Tags,0.749451130882414,0.749451130882414,0.24032666719034632,0.498902261764828,187,1.0
dmax2_postHistory_UserId_PostId_posts__nunique_Title,0.7494230950811152,0.7494230950811152,0.2405115176841404,0.4988461901622303,188,1.0
dmax2_postHistory_UserId_PostId_posts__nunique_ContentLicense,0.7405443277617927,0.7405443277617927,0.14273002518961503,0.4810886555235854,4,1.0
dmax2_comments_UserId_PostId_posts__count_distinct_PostId,0.7306382665423201,0.7306382665423201,0.23871292917909112,0.46127653308464023,337,1.0
dmax2_comments_UserId_PostId_posts__nunique_Body,0.7306382665423201,0.7306382665423201,0.23871292917909112,0.46127653308464023,337,1.0
dmax2_comments_UserId_PostId_posts__nunique_ContentLicense,0.7177455947266925,0.7177455947266925,0.15187862730987026,0.43549118945338505,4,1.0
dmax2_comments_UserId_PostId_posts__nunique_Tags,0.6954419188385998,0.6954419188385998,0.20976823862634317,0.3908838376771997,246,1.0
dmax2_comments_UserId_PostId_posts__nunique_Title,0.695441295905645,0.695441295905645,0.209871634733829,0.3908825918112899,251,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__count_distinct_AcceptedAnswerId,0.6871326638822328,0.6871326638822328,0.19756730865880173,0.37426532776446564,62,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__nunique_Body,0.6871326638822328,0.6871326638822328,0.19756730865880173,0.37426532776446564,62,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__nunique_ContentLicense,0.6821914410430233,0.6821914410430233,0.13841541789855477,0.36438288208604663,4,1.0
dmax2_posts_OwnerUserId_ParentId_posts__nunique_Body,0.6328810676438097,0.6328810676438097,0.16686111690349362,0.2657621352876194,256,1.0
dmax2_posts_OwnerUserId_ParentId_posts__count_distinct_ParentId,0.6328810196419707,0.6328810196419707,0.16685979354701455,0.2657620392839415,256,1.0
dmax2_posts_OwnerUserId_ParentId_posts__nunique_Title,0.6328810196419707,0.6328810196419707,0.16685979354701455,0.2657620392839415,256,1.0
dmax2_posts_OwnerUserId_ParentId_posts__nunique_Tags,0.6328555674851035,0.6328555674851035,0.16677237856626748,0.26571113497020704,246,1.0
dmax2_posts_OwnerUserId_ParentId_posts__nunique_ContentLicense,0.6302344998925687,0.6302344998925687,0.12062997234772539,0.2604689997851375,4,1.0
dmax2_comments_UserId_PostId_posts__nunique_OwnerDisplayName,0.5518173768947839,0.5518173768947839,0.09755706303049597,0.10363475378956788,49,1.0
dmax2_posts_OwnerUserId_ParentId_posts__nunique_OwnerDisplayName,0.5429719356703355,0.5429719356703355,0.09295252135092924,0.08594387134067105,37,1.0
dmax2_votes_UserId_PostId_posts__nunique_Tags,0.5398225355651352,0.5398225355651352,0.08646717255798438,0.0796450711302703,28,1.0
dmax2_votes_UserId_PostId_posts__count_distinct_PostId,0.5398225238374131,0.5398225238374131,0.08645323584704816,0.07964504767482627,28,1.0
dmax2_votes_UserId_PostId_posts__nunique_Title,0.5398225238374131,0.5398225238374131,0.08645323584704816,0.07964504767482627,28,1.0
dmax2_votes_UserId_PostId_posts__nunique_Body,0.5398225238374131,0.5398225238374131,0.08645323584704816,0.07964504767482627,28,1.0
dmax2_votes_UserId_PostId_posts__nunique_ContentLicense,0.5397533589150405,0.5397533589150405,0.07779551287699263,0.07950671783008101,4,1.0
dmax2_postHistory_UserId_PostId_posts__nunique_OwnerDisplayName,0.5366924976562283,0.5366924976562283,0.07728702671375377,0.07338499531245657,43,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__nunique_OwnerDisplayName,0.517326031380875,0.517326031380875,0.061900942430570885,0.034652062761749924,6,1.0
dmax2_votes_UserId_PostId_posts__nunique_OwnerDisplayName,0.5009701182552575,0.5009701182552575,0.0489337870784234,0.0019402365105150032,7,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__nunique_Title,,,,-1.0,1,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__nunique_Tags,,,,-1.0,1,1.0
