dataset,task,variant,n_runs,seeds,n_features_mean,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,log_loss_mean,log_loss_std
rel-amazon,item-churn,dfs,4,"41,42,43,44",5.0,0.6793750000000001,0.00024999999999999095,0.7581678436759236,0.00014689408096529199,0.6369605211290593,0.00025075381550819373,0.6027359203275324,7.286680547796231e-05
rel-amazon,item-churn,dfs_plus_dmax2,4,"41,42,43,44",16.0,0.68725,0.0012583057392117167,0.7637085903710069,0.00024376692236857103,0.6421246574296768,0.000897383979356857,0.5926650831295882,0.00047987397946160385
rel-amazon,item-churn,fdhg_dmax1,4,"41,42,43,44",13.0,0.6785,0.0014142135623730833,0.7591169453401623,9.650539480483536e-05,0.6390502232596303,0.0005748657589441895,0.6013354613513313,0.0005591163646735933
rel-amazon,item-churn,fdhg_plus_dmax2,4,"41,42,43,44",24.0,0.684,0.001224744871391594,0.7655079824121042,0.00033013305694649443,0.644242963019774,0.0005783265632715937,0.5903284334043888,0.00047536327832820453
