seed,metric,direction,base_variant,candidate_variant,base_score,candidate_score,improvement,secondary_metric,secondary_direction,secondary_base_score,secondary_candidate_score,secondary_improvement,base_metrics_path,candidate_metrics_path,base_n_features,candidate_n_features,gate_outcome,selected_variant,selected_score
41,accuracy,maximize,dfs,fdhg_dmax1,0.7447342026078235,0.8269809428284854,0.08224674022066192,,,,,,/home/evelyn/fdhg-icl-paper/results/rel-salt_item-shippoint_tabpfn/dfs/seed41/metrics.csv,/home/evelyn/fdhg-icl-paper/results/rel-salt_item-shippoint_tabpfn/fdhg_dmax1/seed41/metrics.csv,9,17,SELECT,fdhg_dmax1,0.8269809428284854
42,accuracy,maximize,dfs,fdhg_dmax1,0.7627883650952858,0.8234704112337011,0.060682046138415324,,,,,,/home/evelyn/fdhg-icl-paper/results/rel-salt_item-shippoint_tabpfn/dfs/seed42/metrics.csv,/home/evelyn/fdhg-icl-paper/results/rel-salt_item-shippoint_tabpfn/fdhg_dmax1/seed42/metrics.csv,9,17,SELECT,fdhg_dmax1,0.8234704112337011
43,accuracy,maximize,dfs,fdhg_dmax1,0.7477432296890673,0.8294884653961886,0.08174523570712133,,,,,,/home/evelyn/fdhg-icl-paper/results/rel-salt_item-shippoint_tabpfn/dfs/seed43/metrics.csv,/home/evelyn/fdhg-icl-paper/results/rel-salt_item-shippoint_tabpfn/fdhg_dmax1/seed43/metrics.csv,9,17,SELECT,fdhg_dmax1,0.8294884653961886
44,accuracy,maximize,dfs,fdhg_dmax1,0.7477432296890673,0.802407221664995,0.05466399197592775,,,,,,/home/evelyn/fdhg-icl-paper/results/rel-salt_item-shippoint_tabpfn/dfs/seed44/metrics.csv,/home/evelyn/fdhg-icl-paper/results/rel-salt_item-shippoint_tabpfn/fdhg_dmax1/seed44/metrics.csv,9,17,SELECT,fdhg_dmax1,0.802407221664995
